question_type,question,answer,hint,a,b,c,d
settings,theme,light,,,,,
settings,hint-mode,yes-hint,,,,,
true and false,The first step in making decisions about starting a business is to define the problem/opportunity.,TRUE,,,,,
true and false,Carol can be considered an entrepreneur because she manages a coffee shop owned by her sister.,FALSE,,,,,
true and false,Insurance is not a risk associated with doing business in another country.,TRUE,,,,,
true and false,An income statement does not forecast how well the business can expect to perform in the future.,FALSE,,,,,
true and false,Inventory is an example of a current asset.,TRUE,,,,,
true and false,Fringe benefits are demonstrated when employees request employers to take out payments for health or dental insurance from their pay.,FALSE,,,,,
true and false,Payroll is the list of people who receive salary or wage payments from a business.,TRUE,,,,,
true and false,"Every month, businesses must pay sales taxes to the federal government.",FALSE,,,,,
true and false,Giveaways of stationeries imprinted with the company name/logo is an example of self-promotion.,TRUE,,,,,
true and false,Weaknesses refer to negative external forces that inhibit the firm's ability to achieve its objectives.,FALSE,,,,,
true and false,The deed is a document used to evidence transfer of ownership of real property.,TRUE,,,,,
true and false,Potential is a part of the marketing mix.,FALSE,,,,,
true and false,Price is a part of the marketing mix.,TRUE,,,,,
true and false,The right to low prices is one of the Consumer Bill of Rights.,FALSE,,,,,
true and false,Philanthropy is the promotion of human welfare through giving.,TRUE,,,,,
fill in the blank,The ____ follows the main body of a business plan.,appendix,This section provides further details/visuals to support your ideas.,,,,
fill in the blank,The ____ is the roadmap for a business.,business plan,Two words!,,,,
fill in the blank,____ are business possibilities that arise from existing conditions.,Opportunities,This term is in the SWOT acronym.,,,,
fill in the blank,____ loans are backed by collateral.,Secured,How secure are these loans?,,,,
fill in the blank,"The ____ is the grant of the exclusive right to make, use, import, sell, and offer a new product or process.",patent,None,,,,
fill in the blank,____ is an amount paid for a job position stated on an annual basis.,Salary,None,,,,
fill in the blank,____ are managers who work directly with the employees who perform the day-to-day tasks of a business.,Supervisors,None,,,,
fill in the blank,Establishing informal ties with people who can help your business grow is called ____.,networking,None,,,,
fill in the blank,____ is the act of establishing a favourable relationship with customers and the general public.,Public relations,2 words!,,,,
fill in the blank,____ occurs when labour negotiations break down and a third party is brought to impose a settlement both sides must accept.,Arbitration,This is a common method to settle disputes.,,,,
fill in the blank,The express ____ gives an explicit assurance of quality of performance by the seller.,warranty,None,,,,
fill in the blank,"One major advantage of the ____ is that once the owner has paid all of the company's expenses, he/she can keep the remaining profits (less taxes).",sole proprietorship,This two word term refers to the type of business with one owner.,,,,
fill in the blank,CSR stands for corporate ____ responsibility.,social,This is a type of regulation in regards to a company's community involvements.,,,,
fill in the blank,"When the employment relationship between a company and an employee is ended, it is known as a ____.",termination,None,,,,
